ensg,transcript_id,rank
ENSG00000000938,NM_005248,1
ENSG00000002016,NM_134424,1
ENSG00000002016,NM_001297420,2
ENSG00000002745,NM_057168,1
ENSG00000002745,NM_016087,2
ENSG00000002822,NM_003550,1
ENSG00000002822,NM_001304524,2
ENSG00000004468,NM_001775,1
ENSG00000004487,NM_001009999,1
ENSG00000004848,NM_139058,1
ENSG00000004975,NM_004422,1
ENSG00000005073,NM_005523,1
ENSG00000005339,NM_004380,1
ENSG00000005471,NM_000443,1
ENSG00000005483,NM_182931,1
ENSG00000005513,NM_014587,1
ENSG00000006062,NM_003954,1
ENSG00000006432,NM_033141,1
ENSG00000006432,NM_001284231,2
ENSG00000006459,NM_030647,1
ENSG00000006468,NM_004956,1
ENSG00000006468,NM_001163152,2
ENSG00000007264,NM_139355,1
ENSG00000007264,NM_002378,2
ENSG00000007312,NM_001039933,1
ENSG00000007372,NM_001604,1
ENSG00000007866,NM_003214,1
ENSG00000008083,NM_004973,1
ENSG00000008441,NM_001271043,1
ENSG00000009709,NM_002584,1
ENSG00000009709,NM_001135254,2
ENSG00000009790,NM_025228,1
ENSG00000009954,NM_032408,1
ENSG00000010030,NM_016135,1
ENSG00000010030,NM_001207035,2
ENSG00000010438,NM_007343,1
ENSG00000010438,NM_001197097,2
ENSG00000010438,NM_001197098,3
ENSG00000010438,NM_002771,4
ENSG00000010671,NM_000061,1
ENSG00000010810,NM_002037,1
ENSG00000010810,NM_153047,2
ENSG00000011405,NM_002645,1
ENSG00000011566,NM_003618,1
ENSG00000012048,NM_007294,1
ENSG00000012048,NM_007300,2
ENSG00000012061,NM_001983,1
ENSG00000012124,NM_001771,1
ENSG00000012779,NM_000698,1
ENSG00000012817,NM_001146705,1
ENSG00000012983,NM_198794,1
ENSG00000013619,NM_001177465,1
ENSG00000013619,NM_005491,2
ENSG00000015171,NM_006624,1
ENSG00000015285,NM_000377,1
ENSG00000015475,NM_197966,1
ENSG00000016402,NM_014432,1
ENSG00000017427,NM_001111283,1
ENSG00000017427,NM_001111284,2
ENSG00000018408,NM_015472,1
ENSG00000019485,NM_001256695,1
ENSG00000019485,NM_001359633,2
ENSG00000019991,NM_000601,1
ENSG00000019991,NM_001010931,2
ENSG00000020181,NM_032777,1
ENSG00000020633,NM_001031680,1
ENSG00000020922,NM_005591,1
ENSG00000023445,NM_001165,1
ENSG00000023839,NM_000392,1
ENSG00000026103,NM_000043,1
ENSG00000026508,NM_000610,1
ENSG00000026751,NM_021181,1
ENSG00000026751,NM_001282594,2
ENSG00000027644,NM_014215,1
ENSG00000028277,NM_001207025,1
ENSG00000028310,NM_023924,1
ENSG00000029725,NM_004703,1
ENSG00000030304,NM_005592,1
ENSG00000030304,NM_001166280,2
ENSG00000030419,NM_016260,1
ENSG00000033327,NM_080491,1
ENSG00000034152,NM_145109,1
ENSG00000036257,NM_003590,1
ENSG00000037280,NM_182925,1
ENSG00000038382,NM_007118,1
ENSG00000039068,NM_004360,1
ENSG00000040199,NM_015020,1
ENSG00000040731,NM_006727,1
ENSG00000041880,NM_001003931,1
ENSG00000043093,NM_020640,1
ENSG00000043591,NM_000684,1
ENSG00000044115,NM_001903,1
ENSG00000044115,NM_001290307,2
ENSG00000044524,NM_005233,1
ENSG00000046604,NM_001943,1
ENSG00000046889,NM_024870,1
ENSG00000047849,NM_002375,1
ENSG00000047849,NM_030885,2
ENSG00000047936,NM_002944,1
ENSG00000048052,NM_178423,1
ENSG00000048052,NM_001204144,2
ENSG00000048462,NM_001192,1
ENSG00000048649,NM_016578,1
ENSG00000049130,NM_000899,1
ENSG00000049249,NM_001561,1
ENSG00000049618,ENST00000346085,1
ENSG00000049618,NM_001363725,2
ENSG00000049768,NM_014009,1
ENSG00000050344,NM_004289,1
ENSG00000050748,NM_139068,1
ENSG00000050748,NM_139070,2
ENSG00000050748,NM_001364611,3
ENSG00000051180,NM_002875,1
ENSG00000051382,NM_006219,1
ENSG00000052344,NM_002773,1
ENSG00000053254,NM_001085471,1
ENSG00000053918,NM_000218,1
ENSG00000053918,ENST00000380776,2
ENSG00000053918,NM_181798,3
ENSG00000054523,NM_015074,1
ENSG00000054523,NM_001365951,2
ENSG00000054523,NM_183416,3
ENSG00000054598,NM_001453,1
ENSG00000055118,NM_000238,1
ENSG00000055118,NM_001204798,2
ENSG00000055609,NM_170606,1
ENSG00000056558,NM_005658,1
ENSG00000056736,NM_018725,1
ENSG00000056972,NM_147686,1
ENSG00000057294,NM_004572,1
ENSG00000057468,NM_002440,1
ENSG00000057657,NM_001198,1
ENSG00000057657,NM_182907,2
ENSG00000058091,NM_001287135,1
ENSG00000058091,NM_012395,2
ENSG00000059377,NM_001166253,1
ENSG00000059377,NM_001166254,2
ENSG00000059377,NM_001366538,3
ENSG00000059728,NM_002357,1
ENSG00000059758,NM_002595,1
