ensembl_gene_id,ensembl_transcript_id,refseq,chromosome_name
ENSG00000176555,ENST00000319988,NM_001004725,11
ENSG00000281670,ENST00000627229,NM_001199281,CHR_HSCHR22_1_CTG7
ENSG00000141682,ENST00000316660,NM_021127,18
ENSG00000104903,ENST00000264824,NM_005583,19
ENSG00000171773,ENST00000301944,NM_138454,19
ENSG00000175877,ENST00000320531,NM_182504,7
ENSG00000189190,ENST00000338230,NM_198457,19
ENSG00000102096,ENST00000376509,NM_006875,X
ENSG00000189190,ENST00000648973,NM_001321867,19
ENSG00000189190,ENST00000648973,NM_001321866,19
ENSG00000188051,ENST00000341130,NM_001190844,19
ENSG00000178821,ENST00000310991,NM_178545,1
ENSG00000182261,ENST00000328600,NM_176821,11
ENSG00000145284,ENST00000319540,NM_001037582,4
ENSG00000137440,ENST00000382333,NM_005130,4
ENSG00000145284,ENST00000273908,NM_024906,4
ENSG00000129864,ENST00000250825,NM_004679,Y
ENSG00000129864,ENST00000250825,NM_181880,Y
ENSG00000272835,ENST00000607293,NM_033318,CHR_HSCHR22_2_CTG1
ENSG00000176540,ENST00000319813,NM_001348223,11
ENSG00000184478,ENST00000329564,NM_001003443,11
ENSG00000168116,ENST00000370733,NM_020931,6
ENSG00000168116,ENST00000370733,NM_001286276,6
ENSG00000176547,ENST00000319856,NM_001004702,11
ENSG00000154736,ENST00000284987,NM_007038,21
ENSG00000188691,ENST00000532411,NM_001146033,11
ENSG00000112183,ENST00000379052,NM_001143942,6
ENSG00000168116,ENST00000545356,NM_001286274,6
ENSG00000168116,ENST00000545356,NM_001286275,6
ENSG00000183313,ENST00000332249,NM_001005173,11
ENSG00000166133,ENST00000315616,NM_152260,15
ENSG00000166133,ENST00000559271,NM_001286407,15
ENSG00000226742,ENST00000451882,NM_001136180,18
ENSG00000112183,ENST00000425446,NM_001143941,6
ENSG00000163563,ENST00000368141,NM_002432,1
ENSG00000116663,ENST00000376753,NM_018438,1
ENSG00000112183,ENST00000318204,NM_153020,6
ENSG00000187123,ENST00000409381,NM_001195685,2
ENSG00000142552,ENST00000270645,NM_020650,19
ENSG00000187123,ENST00000334166,NM_194317,2
ENSG00000070193,ENST00000264664,NM_004465,5
ENSG00000196724,ENST00000396147,NM_001317029,19
ENSG00000196724,ENST00000396147,NM_001317028,19
ENSG00000196724,ENST00000396147,NM_133460,19
ENSG00000166801,ENST00000528737,NM_001312909,11
ENSG00000189221,ENST00000338702,NM_000240,X
ENSG00000141759,ENST00000269601,NM_006701,18
ENSG00000141759,ENST00000269601,NM_001305557,18
ENSG00000196724,ENST00000425570,NM_001317027,19
ENSG00000105926,ENST00000222644,NM_016447,7
ENSG00000105926,ENST00000222644,NM_001303037,7
ENSG00000146223,ENST00000493763,NM_001366481,6
ENSG00000024862,ENST00000332797,NM_015439,6
ENSG00000099385,ENST00000380317,NM_001286526,16
ENSG00000141759,ENST00000585474,NM_001305564,18
ENSG00000196724,ENST00000599852,NM_001317030,19
ENSG00000270231,ENST00000652355,NM_001037501,1
ENSG00000141759,ENST00000592957,NM_001305563,18
ENSG00000146223,ENST00000304734,NM_198486,6
ENSG00000274174,ENST00000618343,NM_139176,CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000274174,ENST00000618343,NM_001127255,CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000274174,ENST00000620183,NM_206828,CHR_HSCHR19LRC_COX2_CTG3_1
ENSG00000189221,ENST00000542639,NM_001270458,X
ENSG00000166801,ENST00000361723,NM_001312911,11
ENSG00000166801,ENST00000361723,NM_022074,11
ENSG00000166801,ENST00000361723,NM_198847,11
ENSG00000099385,ENST00000215115,NM_004765,16
ENSG00000227794,ENST00000440980,NM_022551,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000279968,ENST00000641401,NM_001242740,6
ENSG00000152454,ENST00000282308,NM_005773,19
ENSG00000166801,ENST00000420244,NM_001312910,11
ENSG00000166801,ENST00000420244,NM_001142520,11
ENSG00000166801,ENST00000420244,NM_001142521,11
ENSG00000166801,ENST00000420244,NM_001142519,11
ENSG00000173153,ENST00000406310,NM_001282451,11
ENSG00000053328,ENST00000338882,NM_001354594,6
ENSG00000053328,ENST00000338882,NM_001123364,6
ENSG00000080546,ENST00000436639,NM_014454,6
ENSG00000145919,ENST00000311086,NM_138369,5
ENSG00000145919,ENST00000285908,NM_001159651,5
ENSG00000101842,ENST00000217957,NM_182607,X
ENSG00000080546,ENST00000302071,NM_001199934,6
ENSG00000173153,ENST00000000442,NM_004451,11
ENSG00000080546,ENST00000356644,NM_001199933,6
ENSG00000101842,ENST00000415430,NM_001170553,X
ENSG00000164690,ENST00000297261,NM_000193,7
ENSG00000173153,ENST00000405666,NM_001282450,11
ENSG00000164690,ENST00000430104,NM_001310462,7
ENSG00000173674,ENST00000379607,NM_001412,X
ENSG00000035928,ENST00000349703,NM_001363495,4
ENSG00000035928,ENST00000349703,NM_002913,4
ENSG00000179580,ENST00000569210,NM_001348711,16
ENSG00000278505,ENST00000611038,NM_001321399,17
ENSG00000090263,ENST00000324787,NM_053035,7
ENSG00000233917,ENST00000439682,NM_001277304,15
ENSG00000179580,ENST00000569714,NM_174903,16
ENSG00000035928,ENST00000381897,NM_001363496,4
ENSG00000035928,ENST00000381897,NM_001204747,4
ENSG00000133101,ENST00000440264,NM_001111046,13
ENSG00000133101,ENST00000440264,NM_001111047,13
ENSG00000090263,ENST00000393008,NM_016071,7
ENSG00000278505,ENST00000615133,NM_173625,17
ENSG00000133101,ENST00000255465,NM_003914,13
ENSG00000153930,ENST00000318698,NM_153228,17
ENSG00000133101,ENST00000625767,NM_001111045,13
ENSG00000275416,ENST00000621155,NM_006737,CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000204876,ENST00000377722,NM_001291913,7
ENSG00000153930,ENST00000566473,NM_001365758,17
ENSG00000275416,ENST00000612733,NM_001242867,CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000173113,ENST00000544844,NM_016404,11
ENSG00000089091,ENST00000357236,NM_018152,20
ENSG00000089091,ENST00000357236,NM_001367619,20
ENSG00000106004,ENST00000222726,NM_019102,7
ENSG00000173113,ENST00000308774,NM_001286082,11
ENSG00000178199,ENST00000409806,NM_207360,6
ENSG00000173113,ENST00000539854,NM_001286084,11
ENSG00000089091,ENST00000358866,NM_001367618,20
ENSG00000089091,ENST00000358866,NM_001351683,20
ENSG00000182585,ENST00000413830,NM_001270989,4
ENSG00000226589,ENST00000457796,NM_006295,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000175832,ENST00000319349,NM_001079675,17
ENSG00000072364,ENST00000265343,NM_014423,5
ENSG00000141994,ENST00000320699,NM_001161619,19
ENSG00000136108,ENST00000378034,NM_001286687,13
ENSG00000272532,ENST00000619390,NM_001025161,CHR_HSCHR22_2_CTG1
ENSG00000272532,ENST00000619390,NM_000106,CHR_HSCHR22_2_CTG1
ENSG00000236014,ENST00000428608,NM_001289176,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000236014,ENST00000428608,NM_001289175,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000236014,ENST00000428608,NM_001289174,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000236014,ENST00000428608,NM_022553,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000175832,ENST00000545954,NM_001261437,17
ENSG00000159423,ENST00000290597,NM_170726,1
ENSG00000168438,ENST00000307731,NM_015891,6
ENSG00000089091,ENST00000262547,NM_001099407,20
ENSG00000089091,ENST00000262547,NM_001351684,20
ENSG00000089091,ENST00000262547,NM_001367617,20
ENSG00000089091,ENST00000262547,NM_001367613,20
ENSG00000089091,ENST00000262547,NM_001367612,20
ENSG00000089091,ENST00000262547,NM_001367614,20
ENSG00000089091,ENST00000262547,NM_001367611,20
ENSG00000094755,ENST00000519385,NM_001291985,5
ENSG00000136161,ENST00000344532,NM_001352424,13
ENSG00000136161,ENST00000344532,NM_001352425,13
ENSG00000136161,ENST00000344532,NM_001268,13
ENSG00000175832,ENST00000591713,NM_001986,17
ENSG00000273397,ENST00000630971,NM_002490,CHR_HSCHR22_2_CTG1
ENSG00000159423,ENST00000375341,NM_003748,1
ENSG00000175832,ENST00000586826,NM_001261439,17
ENSG00000094755,ENST00000265294,NM_014211,5
ENSG00000159423,ENST00000538309,NM_001161504,1
ENSG00000197576,ENST00000610970,NM_002141,7
ENSG00000141994,ENST00000309061,NM_020175,19
ENSG00000182585,ENST00000514968,NM_001270991,4
ENSG00000183389,ENST00000330728,NM_001005179,11
ENSG00000182585,ENST00000503098,NM_001270990,4
ENSG00000182585,ENST00000502358,NM_001270992,4
ENSG00000159423,ENST00000538839,NM_001319218,1
ENSG00000115904,ENST00000402219,NM_005633,2
ENSG00000122592,ENST00000242159,NM_006896,7
ENSG00000175832,ENST00000538265,NM_001261438,17
ENSG00000182585,ENST00000505212,NM_001270993,4
ENSG00000136161,ENST00000544492,NM_001286832,13
ENSG00000136161,ENST00000544492,NM_001352428,13
ENSG00000136161,ENST00000544492,NM_001352427,13
ENSG00000276340,ENST00000620499,NM_001261843,CHR_HSCHR8_3_CTG7
ENSG00000136161,ENST00000430805,NM_001286830,13
ENSG00000276340,ENST00000618766,NM_001082480,CHR_HSCHR8_3_CTG7
ENSG00000136161,ENST00000544904,NM_001352429,13
ENSG00000136161,ENST00000544904,NM_001286831,13
ENSG00000136161,ENST00000544904,NM_001352426,13
ENSG00000276340,ENST00000633071,NM_014789,CHR_HSCHR8_3_CTG7
ENSG00000183617,ENST00000330133,NM_172251,19
ENSG00000106006,ENST00000222728,NM_024014,7
ENSG00000115085,ENST00000264972,NM_001079,2
ENSG00000135253,ENST00000610776,NM_001366122,7
ENSG00000106443,ENST00000403050,NM_014660,7
ENSG00000152377,ENST00000394945,NM_004598,5
ENSG00000109133,ENST00000504986,NM_018126,4
ENSG00000180934,ENST00000641938,NM_001001917,11
ENSG00000136108,ENST00000258607,NM_018204,13
ENSG00000212123,ENST00000419421,NM_001134316,19
ENSG00000197872,ENST00000381323,NM_030797,2
ENSG00000103126,ENST00000262320,NM_003502,16
ENSG00000115085,ENST00000451498,NM_207519,2
ENSG00000101850,ENST00000467482,NM_000273,X
ENSG00000205403,ENST00000394635,NM_001318057,4
ENSG00000106443,ENST00000634607,NM_001007157,7
ENSG00000228454,ENST00000375177,NM_001002029,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000136108,ENST00000378037,NM_001098525,13
ENSG00000104723,ENST00000382020,NM_178234,8
ENSG00000205403,ENST00000512148,NM_001331035,4
ENSG00000101473,ENST00000217455,NM_005469,20
ENSG00000135253,ENST00000612224,NM_199349,7
ENSG00000103126,ENST00000354866,NM_181050,16
ENSG00000105997,ENST00000396352,NM_030661,7
ENSG00000205403,ENST00000394634,NM_000204,4
ENSG00000136108,ENST00000490903,NM_001286686,13
ENSG00000128524,ENST00000249289,NM_004231,7
ENSG00000104723,ENST00000503731,NM_006765,8
ENSG00000104723,ENST00000503731,NM_001356429,8
ENSG00000128524,ENST00000492758,NM_001198909,7
ENSG00000162601,ENST00000472487,NM_001085487,1
ENSG00000175390,ENST00000651655,NM_003754,11
ENSG00000272899,ENST00000609480,NM_001195150,7
ENSG00000105997,ENST00000612286,NM_153631,7
ENSG00000123739,ENST00000243501,NM_030821,4
ENSG00000101132,ENST00000371419,NM_002623,20
ENSG00000082458,ENST00000374360,NM_021120,X
ENSG00000235569,ENST00000427968,NM_172166,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000235569,ENST00000458058,NM_002441,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000177025,ENST00000314391,NM_152474,19
ENSG00000164167,ENST00000296581,NM_007080,4
ENSG00000237388,ENST00000446524,NM_001005512,11
ENSG00000082458,ENST00000374355,NM_020730,X
